Model,Dugman/Dugmanit,דֻּגְמָן/דֻּגְמָנִית,Dugmanim/Dugmaniyot,דֻּגְמָנִים/דֻּגְמָנִיּוֹת
Monkey,Kof,קוֹף,Kofim,קוֹפִים
Month,Chodesh,חֹדֶשׁ,Chodashim,חֳדָשִׁים
Mouse,Achbar,עַכְבָּר,Achbarim,עַכְבָּרִים
Mouth,Peh,פֶּה,Pehiyot,פֶּהוֹת
Mushroom,Petria,פִּטְרִיָּה,Petriot,פִּטְרִיּוֹת
Musician,Musicai/Musicait,מוּזִיקַאי/מוּזִיקָאִית,Musicaiim/Musicaiyot,מוּזִיקָאִים/מוּזִיקָאִיּוֹת
Napkin,Mapit,מַפִּית,Mapiyot,מַפִּיּוֹת
Necklace/Chain,Shar-sheret,שַׁרְשֶׁרֶת,Sharsharot,שַׁרְשָׁרוֹת
Nephew,Achyan,אַחְיָן,Achyanim,אַחְיָנִים
News,,,Chadashot ,חֲדָשׁוֹת
Newspaper,Iton,עִתּוֹן,Itonim,עִתּוֹנִים
Niece,Achyanit,אַחְיָנִית,Achyaniot,אַחְיָנִיּוֹת
Nose,Af,אַף,Apim,אַפַּיִם
Notebook,Machberet,מַחְבֶּרֶת,Machbarot,מַחְבָּרוֹת
Number,Mispar,מִסְפָּר,Misparim,מִסְפָּרִים
Nut,Ehgoz,אֱגוֹז,Egozim,אֱגוֹזִים
Office,Misrad,מִשְׂרָד,Misradim,מִשְׂרָדִים
Officer,Katzin/Ktzina,קָצִין/קְצִינָה,Katzinim/Ktzinot,קָצִינִים/קְצִינוֹת
Oil,Shemen,שֶׁמֶן,Shemanim,שְׁמָנִים
Olive,Zait,זַיִת,Zaytim,זֵיתִים
Onion,Bet-zal,בָּצָל,Btzalim,בְּצָלִים
Owl,Yen-shufv,יַנְשׁוּף,Yanshufim,יַנְשׁוּפִים
Page,Amood,עַמּוּד,Amudim,עַמּוּדִים
Painter,Tzayar/Tzayeret,צַיָּר/צַיֶּרֶת,Tzayarim/Tzayarot,צַיָּרִים/צַיָּרוֹת
Pair/couple,Zug,זוּג,Zugot,זוּגוֹת
Pants,Michna-tzaym,מִכְנָסַיִם,,
Partner,Shutaf/Shutafa,שׁוּתָף/שׁוּתָפָה,Shutafim/Shutafot,שׁוּתָפִים/שׁוּתָפוֹת
Passport,Darkon,דַּרְכּוֹן,Darkonim,דַּרְכּוֹנִים
Past,Avar,עָבָר,,
Peach,Afarsek,אֲפַרְסֶק,Afarsekim,אֲפַרְסְקִים
Peanut,Bo-ten,בֹּטֶן,Botnim,בֹּטְנִים
Pear,Agas,אֲגָס,Agasim,אֲגָסִים
Pen,Et,עֵט,Etim,עֵטִים
Pencil,Iparon,עִפָּרוֹן,Efranot,עִפָּרוֹנִים
Person,Gever/Isha,גֶּבֶר/אִשָּׁה,Gvarim/Nashim,גְּבָרִים/נָשִׁים
Pet,ChaiAt Machmad,חַיַּת מַחְמָד,Chayot Machmad,חַיּוֹת מַחְמָד
