Sick,Choleh/Chola,חוֹלֶה/חוֹלָה,Cholim/Cholot,חוֹלִים/חוֹלוֹת
Simple,Pashut/Pshuta,פָּשׁוּט/פְּשׁוּטָה,Pshutim/Pshutot,פְּשׁוּטִים/פְּשׁוּטוֹת
Slow,I-ti/I-tit,אִטִּי/אִטִּית,Itiim/Itiyot,אִטִּיִּים/אִטִּיּוֹת
So,Kol Kach,כָּל כָּךְ,,
Straight Ahead,Yashar,יָשָׁר,,
Strange/Weird,Muzar/Muzara,מוּזָר/מוּזָרָה,Muzarim/Muzarot,מוּזָרִים/מוּזָרוֹת
Strong,Chazak/Chazaka,חָזָק/חֲזָקָה,Chazakim/Chazakot,חֲזָקִים/חֲזָקוֹת
Stupid,Tipshi/Tipshit,טיפשי/טיפשית,Tipshiyim/Tipshiyot,טיפשיים/טיפשיות
Tall/High,Gavoa/Gvo-a,גָּבוֹהַּ/גְּבוֹהָה,Gvohim/Gvohot,גְּבוֹהִים/גְּבוֹהוֹת
Thirsty,Tzameh/Tzme-a,צָמֵא/צְמֵאָה,Tmeim/Tmeot,צְמֵאִים/צְמֵאוֹת
Tired,Ayef/Ayefa,עָיֵף/עֲיֵפָה,Ayefim/Ayefot,עֲיֵפִים/עֲיֵפוֹת
Upset,Rogez/Rogezet,רוֹגֵז/רוֹגֶזֶת,Rogzim/Rogzot,רוֹגְזִים/רוֹגְזוֹת
Vegan,Tivoni/Tivonit,טִבְעוֹנִי/טִבְעוֹנִית,Tivoniim/Tivoniyot,טִבְעוֹנִיִּים/טִבְעוֹנִיּוֹת
Vegetarian,Tzimchoni/Tzimchonit,צִמְחוֹנִי/צִמְחוֹנִית,Tzimchoniim/Tzimchoniyot,צִמְחוֹנִיִּים/צִמְחוֹנִיּוֹת
Weak,Chalash/Chalasha,חַלָּשׁ/חַלָּשָׁה,Chalashim/Chalashot,חַלָּשִׁים/חַלָּשׁוֹת
Wet,Ratuv/Retuva,רָטוּב/רְטוּבָה,Retuvim/Retuvot,רְטוּבִים/רְטוּבוֹת
Young (Growing),Tzayir/Tzayir-a,צָעִיר/צְעִירָה,Tzeirim/Tzeirot,צְעִירִים/צְעִירוֹת
Young (No Grow)/New,Chadash/Chadasha,חָדָשׁ/חֲדָשָׁה,Chadashim/Chadashot,חֲדָשִׁים/חֲדָשׁוֹת
